,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12
+,*,*,*,*,*,*,*,*,*,*,*,*
4246762,121308169,121296612,121303927,121297069,121297068,121297080,121298619,121296543,121296542,121296541,121296540,121297031
4246765,121296518,121296513,121296515,121296516,121296536,121296537,121296535,121308170,121308171,121297078,121296630,121296520
4246750,121296523,121296525,121296527,121296526,121302437,121306907,121306908,121307806,121299506,121303735,121307520,121296538
4246753,121296539,121307385,121297054,121303766,121297027,121297026,121297025,121307693,121351400,121357011,121362450,121360552
4246785,121332191,121351401,121360551,121360082,121329623,121330445,121332167,121345234,121332187,121332184,121357009,121357013
4246768,121362480,121367950,121374148,121363167,121356273,121352320,121356311,121356313,121356315,121356317,121345239,121352289
4246769,121345084,121345087,121345409,121345408,121345293,121332146,121360382,121356309,121356307,121352318,121329619,121330436
4246779,121357020,121352299,121352291,121352293,121352295,121352297,121351004,121345316,121408134,121399393,121413966,121399488
4246781,121421919,121421910,121421911,121415097,121445866,121445869,121458598,121422633,121445852,121445851,121445850,121445857
4246783,121447983,121422160,121445871,121445870,121445873,121445872,121469443,121469441,121469444,121469449,121495592,121492388
4246775,121492438,121469408,121469407,121469404,121469405,121469402,121469532,121469531,121469537,121469534,121469535,121469538
4246774,121489812,121469476,121469474,121469473,121469471,121469479,121495565,121469431,121469437,121469439,121469507,121469505
4246760,121306248,121306246,121306247,121306245,121304338,121304339,121268693,121304537,121304572,121304573,121304570,121304571
4246758,121469504,121469502,121469500,121463347,121463345,121469495,121469491,121469492,121469498,121469469,121469540,121469461
4246766,121260751,121250238,121302170,121304961,121304962,121303262,121309971,121303650,121308831,121308830,121361592,121378912
4246777,121304341,121304340,121304342,121306044,121306045,121304598,121304599,121304358,121304357,121304285,121304286,121304284
4246772,121302415,121302419,121305052,121305051,121306128,121305658,121305065,121305064,121305082,121302422,121305071,121304191
4246755,121469464,121469466,121492436,121469425,121469427,121469420,121469421,121469423,121469428,121493754,121469450,121469456
+,Solution: 0,*,*,*,*,*,*,*,*,*,*,*
