CenterCityId,OtherCityId
1058,1166
1058,1167
1070,1058
1058,1063
1067,1568
1067,2252
1567,1067
12326,1067
1067,1064
1067,2711
1067,1063
1344,1067
1067,1060
1067,1061
1063,1064
1342,1064
1067,1064
1060,1064
1344,1064
1060,1063
1060,1064
1067,1060
1060,1001
1344,1060
1060,1059
1058,1063
1067,1063
1063,1064
1060,1063
1342,1063
1344,1063
1070,1063
1068,1261
1262,1261
1070,1261
1388,1261
1068,1261
1262,1068
1070,1068
1070,1068
1070,1344
1070,1261
1070,1262
1070,1388
1070,1058
1344,1067
1344,1064
1070,1344
1344,1063
1344,1060
1070,1262
1262,1261
1262,1068
1262,1388
1059,1001
1060,1059
1059,1167
1059,1167
1058,1167
1001,1167
1059,1001
1060,1001
1058,1166
1060,1440
1440,1001
1440,1062
1061,2711
2711,1060
1067,2711
1061,2711
1061,1060
2401,1070
2401,1262
1060,1062
1440,1062
1387,1067
1342,1063
2252,1067
1386,1057
2900,1057
1386,2900
1386,2900
2900,1057
1386,2900
1258,1386
1386,2900
1386,1057
1258,1386
1257,1386
1054,1386
1386,2900
1054,1257
1257,1386
1054,1257
1054,1386
1056,1050
1050,1049
1053,1050
1050,1397
1056,1050
1056,1053
1338,1053
1053,1164
1053,1049
1053,1050
1056,1053
1050,1397
1049,1397
1049,1397
1050,1049
1053,1049
1053,1164
1338,1053
1048,1479
1163,1479
1048,1479
1048,1163
1163,1479
1048,1163
